Round,Agent,Bid,Winning_Bid
44,Agent 3,5.026226771057512,False
44,Agent 4,4.026226771057512,False
44,Agent 5,3.0262267710575124,True
45,Agent 1,6.533296523817408,False
45,Agent 2,5.533296523817408,False
45,Agent 3,4.533296523817408,False
45,Agent 4,3.533296523817408,False
45,Agent 5,2.533296523817408,True
46,Agent 1,7.034350288406147,False
46,Agent 2,6.034350288406147,False
46,Agent 3,5.034350288406147,False
46,Agent 4,4.034350288406147,False
46,Agent 5,3.034350288406147,True
47,Agent 1,5.27028240091653,False
47,Agent 2,4.27028240091653,False
47,Agent 3,3.27028240091653,False
47,Agent 4,2.27028240091653,False
47,Agent 5,1.27028240091653,True
48,Agent 1,5.158007759457666,False
48,Agent 2,4.158007759457666,False
48,Agent 3,3.158007759457666,False
48,Agent 4,2.158007759457666,False
48,Agent 5,1.158007759457666,True
49,Agent 1,4.918936829023325,False
49,Agent 2,3.918936829023325,False
49,Agent 3,2.918936829023325,False
49,Agent 4,1.918936829023325,False
49,Agent 5,0.9189368290233251,True
50,Agent 1,4.628363226904522,False
50,Agent 2,3.628363226904522,False
50,Agent 3,2.628363226904522,False
50,Agent 4,1.628363226904522,False
50,Agent 5,0.6283632269045221,True
51,Agent 1,4.3567259152884805,False
51,Agent 2,3.3567259152884805,False
51,Agent 3,2.3567259152884805,False
51,Agent 4,1.3567259152884805,False
51,Agent 5,0.3567259152884805,True
52,Agent 1,3.8258755559881132,False
52,Agent 2,2.8258755559881132,False
52,Agent 3,1.8258755559881132,False
52,Agent 4,0.8258755559881132,False
52,Agent 5,-0.17412444401188676,True
53,Agent 1,3.7905828455851047,False
53,Agent 2,2.7905828455851047,False
53,Agent 3,1.7905828455851047,False
53,Agent 4,0.7905828455851047,False
53,Agent 5,-0.20941715441489528,True
54,Agent 1,3.1775555336616277,False
54,Agent 2,2.1775555336616277,False
54,Agent 3,1.1775555336616277,False
54,Agent 4,0.17755553366162768,False
54,Agent 5,-0.8224444663383723,True
55,Agent 1,2.627801477512651,False
55,Agent 2,1.627801477512651,False
55,Agent 3,0.627801477512651,False
55,Agent 4,-0.37219852248734897,False
55,Agent 5,-1.372198522487349,True
56,Agent 1,2.181814254153658,False
56,Agent 2,1.1818142541536578,False
56,Agent 3,0.18181425415365782,False
56,Agent 4,-0.8181857458463422,False
56,Agent 5,-1.8181857458463422,True
57,Agent 1,2.288808982164945,False
57,Agent 2,1.2888089821649449,False
57,Agent 3,0.2888089821649449,False
57,Agent 4,-0.7111910178350551,False
57,Agent 5,-1.7111910178350551,True
58,Agent 1,2.069995165890553,False
58,Agent 2,1.0699951658905529,False
58,Agent 3,0.06999516589055288,False
58,Agent 4,-0.9300048341094471,False
58,Agent 5,-1.9300048341094471,True
59,Agent 1,2.556752133038122,False
59,Agent 2,1.5567521330381222,False
59,Agent 3,0.5567521330381222,False
59,Agent 4,-0.4432478669618778,False
59,Agent 5,-1.4432478669618778,True
60,Agent 1,2.096317289826384,False
60,Agent 2,1.0963172898263842,False
60,Agent 3,0.09631728982638421,False
60,Agent 4,-0.9036827101736158,False
60,Agent 5,-1.9036827101736158,True
61,Agent 1,1.6312249084224124,False
61,Agent 2,0.6312249084224124,False
61,Agent 3,-0.3687750915775876,False
61,Agent 4,-1.3687750915775876,False
61,Agent 5,-2.3687750915775876,True
62,Agent 1,1.0164970460513003,False
62,Agent 2,0.016497046051300313,False
62,Agent 3,-0.9835029539486997,False
62,Agent 4,-1.9835029539486997,False
62,Agent 5,-2.9835029539486997,True
63,Agent 1,1.3509632838278423,False
63,Agent 2,0.35096328382784225,False
63,Agent 3,-0.6490367161721577,False
63,Agent 4,-1.6490367161721577,False
63,Agent 5,-2.6490367161721577,True
64,Agent 1,1.2399457922035806,False
64,Agent 2,0.2399457922035806,False
64,Agent 3,-0.7600542077964194,False
64,Agent 4,-1.7600542077964194,False
64,Agent 5,-2.7600542077964194,True
65,Agent 1,1.006760880822326,False
65,Agent 2,0.006760880822326065,False
65,Agent 3,-0.9932391191776739,False
65,Agent 4,-1.993239119177674,False
65,Agent 5,-2.993239119177674,True
66,Agent 1,0.1967938629368553,False
66,Agent 2,-0.8032061370631447,False
66,Agent 3,-1.8032061370631447,False
66,Agent 4,-2.8032061370631447,False
66,Agent 5,-3.8032061370631447,True
67,Agent 1,0.6892515689850334,False
67,Agent 2,-0.31074843101496663,False
67,Agent 3,-1.3107484310149666,False
67,Agent 4,-2.3107484310149666,False
67,Agent 5,-3.3107484310149666,True
68,Agent 1,0.17653202700560078,False
68,Agent 2,-0.8234679729943992,False
68,Agent 3,-1.8234679729943992,False
68,Agent 4,-2.8234679729943992,False
68,Agent 5,-3.8234679729943992,True
69,Agent 1,2.4067757315643568,False
69,Agent 2,1.4067757315643568,False
69,Agent 3,0.40677573156435676,False
69,Agent 4,-0.5932242684356432,False
69,Agent 5,-1.5932242684356432,True
70,Agent 1,0.46075320067340186,False
70,Agent 2,-0.5392467993265981,False
70,Agent 3,-1.5392467993265981,False
70,Agent 4,-2.539246799326598,False
70,Agent 5,-3.539246799326598,True
71,Agent 1,0.06012094003772628,False
71,Agent 2,-0.9398790599622737,False
71,Agent 3,-1.9398790599622737,False
71,Agent 4,-2.9398790599622737,False
71,Agent 5,-3.9398790599622737,True
72,Agent 1,0,False
72,Agent 2,-1,False
72,Agent 3,-2,False
72,Agent 4,-3,False
72,Agent 5,-4,True
73,Agent 1,0,False
73,Agent 2,-1,False
73,Agent 3,-2,False
73,Agent 4,-3,False
73,Agent 5,-4,True
74,Agent 1,1.1767644675280486,False
74,Agent 2,0.17676446752804864,False
74,Agent 3,-0.8232355324719514,False
74,Agent 4,-1.8232355324719514,False
74,Agent 5,-2.8232355324719514,True
75,Agent 1,0,False
75,Agent 2,-1,False
75,Agent 3,-2,False
75,Agent 4,-3,False
75,Agent 5,-4,True
76,Agent 1,0,False
76,Agent 2,-1,False
76,Agent 3,-2,False
76,Agent 4,-3,False
76,Agent 5,-4,True
77,Agent 1,0.6031781918801684,False
77,Agent 2,-0.3968218081198316,False
77,Agent 3,-1.3968218081198316,False
77,Agent 4,-2.3968218081198316,False
77,Agent 5,-3.3968218081198316,True
78,Agent 1,0,False
78,Agent 2,-1,False
78,Agent 3,-2,False
78,Agent 4,-3,False
78,Agent 5,-4,True
79,Agent 1,0,False
79,Agent 2,-1,False
79,Agent 3,-2,False
79,Agent 4,-3,False
79,Agent 5,-4,True
80,Agent 1,0,False
80,Agent 2,-1,False
80,Agent 3,-2,False
80,Agent 4,-3,False
80,Agent 5,-4,True
81,Agent 1,0,False
81,Agent 2,-1,False
81,Agent 3,-2,False
81,Agent 4,-3,False
81,Agent 5,-4,True
82,Agent 1,0,False
82,Agent 2,-1,False
82,Agent 3,-2,False
82,Agent 4,-3,False
82,Agent 5,-4,True
83,Agent 1,0,False
83,Agent 2,-1,False
83,Agent 3,-2,False
83,Agent 4,-3,False
83,Agent 5,-4,True
84,Agent 1,0,False
84,Agent 2,-1,False
84,Agent 3,-2,False
84,Agent 4,-3,False
84,Agent 5,-4,True
85,Agent 1,0,False
85,Agent 2,-1,False
85,Agent 3,-2,False
85,Agent 4,-3,False
85,Agent 5,-4,True
86,Agent 1,0,False
86,Agent 2,-1,False
86,Agent 3,-2,False
86,Agent 4,-3,False
86,Agent 5,-4,True
87,Agent 1,0,False
87,Agent 2,-1,False
87,Agent 3,-2,False
87,Agent 4,-3,False
87,Agent 5,-4,True
88,Agent 1,0,False
88,Agent 2,-1,False
88,Agent 3,-2,False
88,Agent 4,-3,False
88,Agent 5,-4,True
89,Agent 1,0,False
89,Agent 2,-1,False
89,Agent 3,-2,False
89,Agent 4,-3,False
89,Agent 5,-4,True
90,Agent 1,0,False
90,Agent 2,-1,False
90,Agent 3,-2,False
90,Agent 4,-3,False
90,Agent 5,-4,True
91,Agent 1,0,False
91,Agent 2,-1,False
91,Agent 3,-2,False
91,Agent 4,-3,False
91,Agent 5,-4,True
92,Agent 1,0,False
92,Agent 2,-1,False
92,Agent 3,-2,False
92,Agent 4,-3,False
92,Agent 5,-4,True
93,Agent 1,0,False
93,Agent 2,-1,False
93,Agent 3,-2,False
93,Agent 4,-3,False
93,Agent 5,-4,True
94,Agent 1,0,False
94,Agent 2,-1,False
94,Agent 3,-2,False
94,Agent 4,-3,False
94,Agent 5,-4,True
95,Agent 1,0,False
95,Agent 2,-1,False
95,Agent 3,-2,False
95,Agent 4,-3,False
95,Agent 5,-4,True
96,Agent 1,0,False
96,Agent 2,-1,False
96,Agent 3,-2,False
96,Agent 4,-3,False
96,Agent 5,-4,True
97,Agent 1,0,False
97,Agent 2,-1,False
97,Agent 3,-2,False
97,Agent 4,-3,False
97,Agent 5,-4,True
98,Agent 1,0,False
98,Agent 2,-1,False
98,Agent 3,-2,False
98,Agent 4,-3,False
98,Agent 5,-4,True
99,Agent 1,0,False
99,Agent 2,-1,False
99,Agent 3,-2,False
99,Agent 4,-3,False
99,Agent 5,-4,True
100,Agent 1,0,False
100,Agent 2,-1,False
100,Agent 3,-2,False
100,Agent 4,-3,False
100,Agent 5,-4,True
1,Agent 1,84.16475673500295,False
1,Agent 2,83.16475673500295,False
1,Agent 3,82.16475673500295,False
1,Agent 4,81.16475673500295,False
1,Agent 5,80.16475673500295,True
2,Agent 1,85.43688807117888,False
2,Agent 2,84.43688807117888,False
2,Agent 3,83.43688807117888,False
2,Agent 4,82.43688807117888,False
2,Agent 5,81.43688807117888,True
3,Agent 1,83.67913174968538,False
3,Agent 2,82.67913174968538,False
3,Agent 3,81.67913174968538,False
3,Agent 4,80.67913174968538,False
3,Agent 5,79.67913174968538,True
4,Agent 1,69.33745092040692,False
4,Agent 2,68.33745092040692,False
4,Agent 3,67.33745092040692,False
4,Agent 4,66.33745092040692,False
4,Agent 5,65.33745092040692,True
5,Agent 1,65.73567522082166,False
5,Agent 2,64.73567522082166,False
5,Agent 3,63.73567522082166,False
5,Agent 4,62.73567522082166,False
5,Agent 5,61.73567522082166,True
6,Agent 1,85.32310025030542,False
6,Agent 2,84.32310025030542,False
6,Agent 3,83.32310025030542,False
6,Agent 4,82.32310025030542,False
6,Agent 5,81.32310025030542,True
7,Agent 1,69.33912884546184,False
7,Agent 2,68.33912884546184,False
7,Agent 3,67.33912884546184,False
7,Agent 4,66.33912884546184,False
7,Agent 5,65.33912884546184,True
8,Agent 1,76.95515521831099,False
8,Agent 2,75.95515521831099,False
8,Agent 3,74.95515521831099,False
8,Agent 4,73.95515521831099,False
8,Agent 5,72.95515521831099,True
9,Agent 1,75.54678301020347,False
9,Agent 2,74.54678301020347,False
9,Agent 3,73.54678301020347,False
9,Agent 4,72.54678301020347,False
9,Agent 5,71.54678301020347,True
10,Agent 1,61.613794029837365,False
10,Agent 2,60.613794029837365,False
10,Agent 3,59.613794029837365,False
10,Agent 4,58.613794029837365,False
10,Agent 5,57.613794029837365,True
11,Agent 1,62.831418403469215,False
11,Agent 2,61.831418403469215,False
11,Agent 3,60.831418403469215,False
11,Agent 4,59.831418403469215,False
11,Agent 5,58.831418403469215,True
12,Agent 1,69.91217192491816,False
12,Agent 2,68.91217192491816,False
12,Agent 3,67.91217192491816,False
12,Agent 4,66.91217192491816,False
12,Agent 5,65.91217192491816,True
13,Agent 1,65.63151756836619,False
13,Agent 2,64.63151756836619,False
13,Agent 3,63.63151756836619,False
13,Agent 4,62.63151756836619,False
13,Agent 5,61.63151756836619,True
14,Agent 1,56.459587427682806,False
14,Agent 2,55.459587427682806,False
14,Agent 3,54.459587427682806,False
14,Agent 4,53.459587427682806,False
14,Agent 5,52.459587427682806,True
15,Agent 1,54.319737505082074,False
15,Agent 2,53.319737505082074,False
15,Agent 3,52.319737505082074,False
15,Agent 4,51.319737505082074,False
15,Agent 5,50.319737505082074,True
16,Agent 1,47.976341963369315,False
16,Agent 2,46.976341963369315,False
16,Agent 3,45.976341963369315,False
16,Agent 4,44.976341963369315,False
16,Agent 5,43.976341963369315,True
17,Agent 1,45.99281020585697,False
17,Agent 2,44.99281020585697,False
17,Agent 3,43.99281020585697,False
17,Agent 4,42.99281020585697,False
17,Agent 5,41.99281020585697,True
18,Agent 1,44.90726861470252,False
18,Agent 2,43.90726861470252,False
18,Agent 3,42.90726861470252,False
18,Agent 4,41.90726861470252,False
18,Agent 5,40.90726861470252,True
19,Agent 1,58.91662496009214,False
19,Agent 2,57.91662496009214,False
19,Agent 3,56.91662496009214,False
19,Agent 4,55.91662496009214,False
19,Agent 5,54.91662496009214,True
20,Agent 1,57.812671590038065,False
20,Agent 2,56.812671590038065,False
20,Agent 3,55.812671590038065,False
20,Agent 4,54.812671590038065,False
20,Agent 5,53.812671590038065,True
21,Agent 1,52.7121008545913,False
21,Agent 2,51.7121008545913,False
21,Agent 3,50.7121008545913,False
21,Agent 4,49.7121008545913,False
21,Agent 5,48.7121008545913,True
22,Agent 1,49.442761980223935,False
22,Agent 2,48.442761980223935,False
22,Agent 3,47.442761980223935,False
22,Agent 4,46.442761980223935,False
22,Agent 5,45.442761980223935,True
23,Agent 1,44.09354603046333,False
23,Agent 2,43.09354603046333,False
23,Agent 3,42.09354603046333,False
23,Agent 4,41.09354603046333,False
23,Agent 5,40.09354603046333,True
24,Agent 1,45.466838403493874,False
24,Agent 2,44.466838403493874,False
24,Agent 3,43.466838403493874,False
24,Agent 4,42.466838403493874,False
24,Agent 5,41.466838403493874,True
25,Agent 1,40.230900199099985,False
25,Agent 2,39.230900199099985,False
25,Agent 3,38.230900199099985,False
25,Agent 4,37.230900199099985,False
25,Agent 5,36.230900199099985,True
26,Agent 1,40.11620954039197,False
26,Agent 2,39.11620954039197,False
26,Agent 3,38.11620954039197,False
26,Agent 4,37.11620954039197,False
26,Agent 5,36.11620954039197,True
27,Agent 1,38.05829723411089,False
27,Agent 2,37.05829723411089,False
27,Agent 3,36.05829723411089,False
27,Agent 4,35.05829723411089,False
27,Agent 5,34.05829723411089,True
28,Agent 1,34.67422189530924,False
28,Agent 2,33.67422189530924,False
28,Agent 3,32.67422189530924,False
28,Agent 4,31.674221895309238,False
28,Agent 5,30.674221895309238,True
29,Agent 1,30.62192979631133,False
29,Agent 2,29.62192979631133,False
29,Agent 3,28.62192979631133,False
29,Agent 4,27.62192979631133,False
29,Agent 5,26.62192979631133,True
30,Agent 1,29.43981053869736,False
30,Agent 2,28.43981053869736,False
30,Agent 3,27.43981053869736,False
30,Agent 4,26.43981053869736,False
30,Agent 5,25.43981053869736,True
31,Agent 1,27.482702310232224,False
31,Agent 2,26.482702310232224,False
31,Agent 3,25.482702310232224,False
31,Agent 4,24.482702310232224,False
31,Agent 5,23.482702310232224,True
32,Agent 1,23.19724861402751,False
32,Agent 2,22.19724861402751,False
32,Agent 3,21.19724861402751,False
32,Agent 4,20.19724861402751,False
32,Agent 5,19.19724861402751,True
33,Agent 1,20.250997687806368,False
33,Agent 2,19.250997687806368,False
33,Agent 3,18.250997687806368,False
33,Agent 4,17.250997687806368,False
33,Agent 5,16.250997687806368,True
34,Agent 1,18.0279972016917,False
34,Agent 2,17.0279972016917,False
34,Agent 3,16.0279972016917,False
34,Agent 4,15.0279972016917,False
34,Agent 5,14.0279972016917,True
35,Agent 1,14.004044476840466,False
35,Agent 2,13.004044476840466,False
35,Agent 3,12.004044476840466,False
35,Agent 4,11.004044476840466,False
35,Agent 5,10.004044476840466,True
36,Agent 1,11.456668450656752,False
36,Agent 2,10.456668450656752,False
36,Agent 3,9.456668450656752,False
36,Agent 4,8.456668450656752,False
36,Agent 5,7.4566684506567515,True
37,Agent 1,7.676443543364746,False
37,Agent 2,6.676443543364746,False
37,Agent 3,5.676443543364746,False
